,gene_names,total_expression,go_terms,pseudotime_spearman_corr,pseudotime_spearman_pval,pseudotime_spearman_pval_adj
396,SRRT,912.8970947265625,mRNA processing,0.42563326901165016,9.23658264356001e-198,1.9889441292465888e-195
155,HNRNPLL,589.6509399414062,"mRNA processing, positive regulation of RNA splicing, regulation of RNA splicing",0.3878553863330923,1.097382759167735e-161,1.772273156055892e-159
538,CD2BP2,542.6026000976562,"RNA splicing, mRNA processing, spliceosomal tri-snRNP complex assembly",0.35285136767529535,3.041824765101684e-132,3.2750313304261463e-130
616,UBL5,2888.1708984375,"mRNA splicing, via spliceosome",0.3319356133883261,2.4009515896579302e-116,2.2157353241700327e-114
316,RPS26,4065.3740234375,negative regulation of RNA splicing,0.27355911595709514,3.6554578740395235e-78,2.6238064295883692e-76
68,AHNAK,859.080322265625,regulation of RNA splicing,0.2557858384224213,3.072566174890901e-68,1.984877748979522e-66
270,HNRNPA3,1464.835205078125,"RNA splicing, mRNA processing, mRNA splicing, via spliceosome",0.24767447493381492,5.8308714486761855e-64,3.4243117780407417e-62
638,TMBIM6,2187.671875,negative regulation of RNA splicing,0.24161883813808177,7.224599741295436e-61,3.590070332982194e-59
568,RALY,1505.9349365234375,"RNA splicing, mRNA processing, mRNA splicing, via spliceosome",0.23730047118161496,1.0288496820708184e-58,4.747406390126776e-57
596,SNRPB,1405.220703125,"RNA splicing, mRNA processing, mRNA splicing, via spliceosome, spliceosomal snRNP assembly",0.22689261766528304,1.061626448462896e-53,4.5720712380468725e-52
146,ZFP36,5008.8212890625,"3'-UTR-mediated mRNA destabilization, 3'-UTR-mediated mRNA stabilization, mRNA catabolic process, nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay, nuclear-transcribed mRNA catabolic process, deadenylation-independent decay, nuclear-transcribed mRNA poly(A) tail shortening, positive regulation of deadenylation-independent decapping of nuclear-transcribed mRNA, positive regulation of mRNA catabolic process, positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay, positive regulation of nuclear-transcribed mRNA poly(A) tail shortening, regulation of mRNA stability",0.22149846351797223,3.365892983672296e-51,1.3589792921576892e-49
40,TENT5C,783.2913208007812,mRNA stabilization,0.20785772140191963,3.6271830718792683e-45,1.3783295673141221e-43
271,HNRNPK,1855.09912109375,"RNA splicing, mRNA processing, mRNA splicing, via spliceosome, negative regulation of mRNA splicing, via spliceosome, regulation of mRNA splicing, via spliceosome",0.20746799209341063,5.318871863320644e-45,1.90888401316952e-43
95,CARHSP1,356.1039733886719,regulation of mRNA stability,0.20501198514691743,5.831150633933489e-44,1.9825912155373866e-42
466,USB1,330.0083923339844,RNA splicing,0.20484985655934942,6.822347329301843e-44,2.2036181873644954e-42
459,LSM2,1285.237548828125,"RNA splicing, mRNA catabolic process, mRNA processing, mRNA splicing, via spliceosome, spliceosomal tri-snRNP complex assembly",0.20475610507410158,7.4702030816893e-44,2.2979767575101372e-42
379,LGALS3,546.9033203125,"RNA splicing, mRNA processing",0.19821120823559737,3.7662275841521474e-41,1.1059013724374034e-39
407,FLNA,864.2252197265625,mRNA transcription by RNA polymerase II,0.19737790290299648,8.189314474009267e-41,2.3001291957434723e-39
515,TRAF5,378.6697998046875,mRNA stabilization,0.19165180391137174,1.5497662228292334e-38,4.1714540831153535e-37
471,NUDT21,673.9673461914062,"mRNA alternative polyadenylation, mRNA polyadenylation, mRNA processing, positive regulation of mRNA cleavage, positive regulation of mRNA polyadenylation, pre-mRNA cleavage required for polyadenylation",0.19154294666869626,1.7094715697592908e-38,4.4172745362580075e-37
556,SLBP,469.02764892578125,"mRNA 3'-end processing by stem-loop binding and cleavage, mRNA processing",0.18834618057664712,2.9667495641811948e-37,7.371231609465584e-36
109,BUD31,653.682373046875,"RNA splicing, mRNA processing, mRNA splicing, via spliceosome",0.18268624807380612,4.097080706524952e-35,9.802644949685627e-34
445,ZCRB1,495.2309265136719,"RNA splicing, mRNA processing, mRNA splicing, via spliceosome",0.18203807581668097,7.131198121303595e-35,1.645269280843615e-33
357,SRSF4,645.5220336914062,"RNA splicing, RNA splicing, via transesterification reactions, mRNA processing, mRNA splicing, via spliceosome, negative regulation of mRNA splicing, via spliceosome",0.17628492835141324,8.9125479149064e-33,1.9191686510098446e-31
206,ERN1,419.50439453125,"mRNA catabolic process, mRNA cleavage, mRNA cleavage involved in mRNA processing, mRNA processing, mRNA splicing, via endonucleolytic cleavage and ligation, positive regulation of RNA splicing",0.17605362764115,1.0785069093760208e-32,2.2474692369577725e-31
287,SUPT4H1,543.2665405273438,mRNA processing,0.17573112636040672,1.406401340159459e-32,2.8391727054469077e-31
400,METTL8,136.06582641601562,"mRNA methylation, mRNA methyltransferase activity",0.17343810607015556,9.149871224441229e-32,1.7911566093906164e-30
366,DCPS,306.6038818359375,"RNA splicing, deadenylation-dependent decapping of nuclear-transcribed mRNA, exonucleolytic catabolism of deadenylated mRNA, mRNA cis splicing, via spliceosome, mRNA processing, nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.17333086706401868,9.981072745021426e-32,1.8964038215540712e-30
130,MYD88,321.8409118652344,3'-UTR-mediated mRNA stabilization,0.1721885863341397,2.5112645035960136e-31,4.635076769494357e-30
422,SNRPB2,726.0533447265625,"RNA splicing, mRNA processing, mRNA splicing, via spliceosome",0.17001127389070297,1.4322642749706294e-30,2.5701186711972964e-29
41,SNRPG,1198.96826171875,"RNA splicing, mRNA processing, mRNA splicing, via spliceosome, spliceosomal complex assembly, spliceosomal snRNP assembly",0.16874317401616196,3.906364216703418e-30,6.820300767541643e-29
180,HNRNPF,1705.3079833984375,"RNA splicing, mRNA processing, mRNA splicing, via spliceosome, regulation of RNA splicing",0.16850129301097105,4.7260916337765196e-30,8.034355777420084e-29
432,SF3B6,1002.7481689453125,"RNA splicing, mRNA processing, mRNA splicing, via spliceosome",0.1677147134360165,8.763475392191868e-30,1.4515910521425503e-28
273,ROCK1,670.3604736328125,mRNA destabilization,0.16436192286271786,1.1779007466280625e-28,1.902309705804321e-27
579,HNRNPA2B1,3336.23681640625,"RNA splicing, mRNA processing, mRNA splicing, via spliceosome, negative regulation of mRNA splicing, via spliceosome",0.16387572560753494,1.7091399159578625e-28,2.692937526118974e-27
590,PAPOLA,912.99755859375,"mRNA 3'-end processing, mRNA polyadenylation, mRNA processing, regulation of mRNA 3'-end processing",0.16203092516470383,6.94513039081635e-28,1.0682271982065147e-26
230,POLR2G,857.970703125,"nuclear-transcribed mRNA catabolic process, exonucleolytic, positive regulation of nuclear-transcribed mRNA poly(A) tail shortening",0.16195257002587915,7.36858693065768e-28,1.1070016644662467e-26
79,LSM10,629.4669799804688,"RNA splicing, mRNA 3'-end processing by stem-loop binding and cleavage, mRNA processing",0.1596946469966249,4.00443260658312e-27,5.879235145119764e-26
144,PRR5L,89.14485931396484,positive regulation of mRNA catabolic process,0.15935016925899134,5.1731997332099595e-27,7.426415617008075e-26
384,SF3B2,882.7484130859375,"RNA splicing, mRNA processing, mRNA splicing, via spliceosome",0.15394783787160232,2.663731991328051e-25,3.740806231299828e-24
346,RBM8A,1618.5203857421875,"RNA splicing, mRNA processing, mRNA splicing, via spliceosome, nuclear-transcribed mRNA catabolic process, nonsense-mediated decay, regulation of alternative mRNA splicing, via spliceosome",0.15270828979526896,6.45138528459742e-25,8.867223178404114e-24
