,sample_key,sample_labels,n_reads,adj_rand_score,n_ds_genes
0,gencode_1m,GENCODE (1M),1.0,0.1633291888536219,3
1,gencode_isoseq,GENCODE (Iso-Seq),1.604248,0.3360702165891746,14
2,gencode_5m,GENCODE (5M),5.0,0.4902764701277923,55
3,gencode_10m,GENCODE (10M),10.0,0.5984645752486233,101
4,gencode_20m,GENCODE (20M),20.0,0.6927656678977946,283
5,gencode_30m,GENCODE (30M),30.0,0.7655051571025658,442
6,gencode_masseq,GENCODE (MAS-seq),33.022383,0.7725325235874699,494
7,gencode_st2_ds_1m,GENCODE + ST2 (1M),1.0,0.22061834592731389,16
8,gencode_st2_ds_isoseq,GENCODE + ST2 (Iso-Seq),1.604248,0.340528787531704,47
9,gencode_st2_ds_5m,GENCODE + ST2 (5M),5.0,0.48447355393817915,125
10,gencode_st2_ds_10m,GENCODE + ST2 (10M),10.0,0.5617916397750076,335
11,gencode_st2_ds_20m,GENCODE + ST2 (20M),20.0,0.7294594809938922,874
12,gencode_st2_ds_30m,GENCODE + ST2 (30M),30.0,0.7754179538791345,1404
13,gencode_st2_ds_masseq,GENCODE + ST2 (MAS-seq),33.022383,0.7754200970974199,1604
14,gencode_st2_full_1m,GENCODE + ST2* (1M),1.0,0.18811107584500497,22
15,gencode_st2_full_isoseq,GENCODE + ST2* (Iso-Seq),1.604248,0.3244110812793333,33
16,gencode_st2_full_5m,GENCODE + ST2* (5M),5.0,0.46921081013033095,109
17,gencode_st2_full_10m,GENCODE + ST2* (10M),10.0,0.6160693469354817,290
18,gencode_st2_full_20m,GENCODE + ST2* (20M),20.0,0.7142836430454961,796
19,gencode_st2_full_30m,GENCODE + ST2* (30M),30.0,0.7802379700777375,1425
20,gencode_st2_full_masseq,GENCODE + ST2* (MAS-seq),33.022383,0.7754200970974199,1604
